2025-07-12 14:07:35.956 | INFO     | main:lifespan:33 | 🚀 Starting JARVIS 4.0...
2025-07-12 14:07:35.995 | INFO     | core.ai_manager:initialize:44 | 🧠 Initializing AI Manager...
2025-07-12 14:07:35.995 | INFO     | modules.chat_module:initialize:29 | 🗨️ Initializing Chat Module...
2025-07-12 14:07:36.034 | WARNING  | modules.chat_module:initialize:46 | ⚠️ Could not connect to Ollama: All connection attempts failed
2025-07-12 14:07:36.034 | INFO     | modules.voice_module:initialize:46 | 🎤 Initializing Voice Module...
2025-07-12 14:07:36.034 | WARNING  | modules.voice_module:initialize:57 | ⚠️ Whisper not available
2025-07-12 14:07:36.034 | WARNING  | modules.voice_module:initialize:85 | ⚠️ pyttsx3 not available
2025-07-12 14:07:36.034 | INFO     | modules.vision_module:initialize:28 | 👁️ Initializing Vision Module...
2025-07-12 14:07:36.035 | WARNING  | modules.vision_module:initialize:38 | ⚠️ OpenCV not available
2025-07-12 14:07:36.035 | INFO     | core.ai_manager:initialize:69 | ✅ AI Manager initialized successfully
2025-07-12 14:07:36.035 | INFO     | main:lifespan:42 | ✅ JARVIS 4.0 ready!
2025-07-12 14:07:45.060 | INFO     | main:lifespan:47 | 🔄 Shutting down JARVIS 4.0...
2025-07-12 14:07:45.061 | INFO     | core.ai_manager:cleanup:78 | 🧹 Cleaning up AI Manager...
2025-07-12 14:07:45.061 | INFO     | modules.vision_module:cleanup:48 | ✅ Vision Module cleanup complete
2025-07-12 14:07:45.061 | INFO     | core.ai_manager:cleanup:88 | ✅ AI Manager cleanup complete
2025-07-12 14:07:58.607 | INFO     | main:lifespan:33 | 🚀 Starting JARVIS 4.0...
2025-07-12 14:07:58.619 | INFO     | core.ai_manager:initialize:44 | 🧠 Initializing AI Manager...
2025-07-12 14:07:58.619 | INFO     | modules.chat_module:initialize:29 | 🗨️ Initializing Chat Module...
2025-07-12 14:07:58.657 | WARNING  | modules.chat_module:initialize:46 | ⚠️ Could not connect to Ollama: All connection attempts failed
2025-07-12 14:07:58.657 | INFO     | modules.voice_module:initialize:46 | 🎤 Initializing Voice Module...
2025-07-12 14:07:58.657 | WARNING  | modules.voice_module:initialize:57 | ⚠️ Whisper not available
2025-07-12 14:07:58.657 | WARNING  | modules.voice_module:initialize:85 | ⚠️ pyttsx3 not available
2025-07-12 14:07:58.657 | INFO     | modules.vision_module:initialize:28 | 👁️ Initializing Vision Module...
2025-07-12 14:07:58.657 | WARNING  | modules.vision_module:initialize:38 | ⚠️ OpenCV not available
2025-07-12 14:07:58.657 | INFO     | core.ai_manager:initialize:69 | ✅ AI Manager initialized successfully
2025-07-12 14:07:58.657 | INFO     | main:lifespan:42 | ✅ JARVIS 4.0 ready!
2025-07-12 14:08:00.865 | INFO     | main:lifespan:47 | 🔄 Shutting down JARVIS 4.0...
2025-07-12 14:08:00.865 | INFO     | core.ai_manager:cleanup:78 | 🧹 Cleaning up AI Manager...
2025-07-12 14:08:00.865 | INFO     | modules.vision_module:cleanup:48 | ✅ Vision Module cleanup complete
2025-07-12 14:08:00.865 | INFO     | core.ai_manager:cleanup:88 | ✅ AI Manager cleanup complete
2025-07-12 14:12:20.899 | INFO     | main:lifespan:33 | 🚀 Starting JARVIS 4.0...
2025-07-12 14:12:20.911 | INFO     | core.ai_manager:initialize:44 | 🧠 Initializing AI Manager...
2025-07-12 14:12:20.911 | INFO     | modules.chat_module:initialize:29 | 🗨️ Initializing Chat Module...
2025-07-12 14:12:20.948 | WARNING  | modules.chat_module:initialize:46 | ⚠️ Could not connect to Ollama: All connection attempts failed
2025-07-12 14:12:20.948 | INFO     | modules.voice_module:initialize:46 | 🎤 Initializing Voice Module...
2025-07-12 14:12:20.948 | WARNING  | modules.voice_module:initialize:57 | ⚠️ Whisper not available
2025-07-12 14:12:20.948 | WARNING  | modules.voice_module:initialize:85 | ⚠️ pyttsx3 not available
2025-07-12 14:12:20.948 | INFO     | modules.vision_module:initialize:28 | 👁️ Initializing Vision Module...
2025-07-12 14:12:20.949 | WARNING  | modules.vision_module:initialize:38 | ⚠️ OpenCV not available
2025-07-12 14:12:20.949 | INFO     | core.ai_manager:initialize:69 | ✅ AI Manager initialized successfully
2025-07-12 14:12:20.949 | INFO     | main:lifespan:42 | ✅ JARVIS 4.0 ready!
